text,label
"这部番剧的节奏很紧凑,推荐观看", 2
"完全无法投入,毫无看点", 0
"演员们的表演让我印象深刻", 2
"没有任何亮点,失望至极", 0
"剧情跌宕起伏,值得一看", 2
"太过沉闷,根本无法集中精神", 0
"这部番剧非常有深度,值得反复思考", 2
"完全没有看下去的动力,浪费时间", 0
"视觉效果非常震撼,强烈推荐", 2
"根本不值一看,感觉浪费时间", 0
"剧情虽然简单,但很感人", 2
"太无聊了,无法坚持看完", 0
"特效做得非常棒,带来了极好的观影体验", 2
"番剧完全没有新意,非常失望", 0
"演员的演技非常到位,非常推荐", 2
"剧情毫无逻辑,完全不推荐", 0
"番剧非常有趣,笑点十足", 2
"一点也不好笑,看得我都烦了", 0
"情节发展非常引人入胜", 2
"看着太无聊了,不想继续看", 0
"导演非常有创意,情节非常独特", 2
"感觉像是浪费时间,剧情毫无深度", 0
"这部番剧让我对生活有了新的感悟", 2
"完全没看下去的欲望,太枯燥了", 0
"音乐和画面搭配得非常好", 2
"情节拖沓,根本无法专注", 0
"情感表达非常真实,推荐", 2
"完全无法引起共鸣,难以忍受", 0
"番剧节奏快,十分紧张刺激", 2
"毫无逻辑可言,看着让人困惑", 0
"这是一部经典的番剧,值得一看", 2
"看完后我只觉得失望", 0
"演员们的默契非常好,情节也很感人", 2
"剧情太拖沓,感觉时间浪费了", 0
"番剧的情感深度让我动容", 2
"看完后一点也不想记住这部番剧", 0
"节奏缓慢,但内容还是有吸引力的", 1
"简直看不下去,太无聊了", 0
"剧情非常出乎意料,值得一看", 2
"失望透顶,根本无法投入", 0
"演员的演技真是让人惊艳", 2
"完全看不下去,根本没看点", 0
"这部番剧有很深的哲理,值得思考", 2
"完全没有兴趣继续看下去", 0
"剧情非常紧凑,一直保持高度悬念", 2
"糟糕透顶,毫无可取之处", 0
"这部番剧充满了惊喜,剧情跌宕起伏", 2
"一点看点也没有,太枯燥了", 0
"这部番剧的世界观构建非常优秀", 2
"一点都不吸引人,完全浪费时间", 0
"人物设定非常有趣,看得津津有味", 2
"从头到尾都没有高潮,太沉闷了", 0
"剧情非常感人,感触颇深", 2
"实在是看不下去了,剧情太枯燥", 0
"这部番剧的情节设计巧妙,值得推荐", 2
"完全看不进去,情节拖沓无聊", 0
"导演的视角非常独特,故事引人入胜", 2
"感觉完全没有意义,太无聊了", 0
"这部番剧的配乐和画面搭配得天衣无缝", 2
"根本看不下去,剧情太差", 0
